date,time,lat,lng
2017-07-18,14271,21.1914528,105.7668058
2017-07-18,14291,21.1914528,105.7668058
2017-07-18,14311,21.1914528,105.7668058
2017-07-18,14331,21.1914528,105.7668058
2017-07-18,14351,21.1914528,105.7668058
2017-07-18,14371,21.1914528,105.7668058
2017-07-18,14391,21.1914528,105.7668058
2017-07-18,14411,21.1914528,105.7668058
2017-07-18,14431,21.1914528,105.7668058
2017-07-18,14451,21.1914528,105.7668058
2017-07-18,14471,21.1913599,105.7667231
2017-07-18,14491,21.1901926,105.767764
2017-07-18,14511,21.1879465,105.7704137
2017-07-18,14531,21.1860786,105.7727631
2017-07-18,14551,21.185684,105.7760434
2017-07-18,14571,21.1855841,105.7788595
2017-07-18,14591,21.1855587,105.7799841
2017-07-18,14611,21.1855587,105.7799841
2017-07-18,14631,21.1855587,105.7799841
2017-07-18,14651,21.1855587,105.7799841
2017-07-18,14671,21.1855465,105.7800957
2017-07-18,14691,21.1855465,105.7800957
2017-07-18,14711,21.1855465,105.7800957
2017-07-18,14731,21.1856346,105.780072
2017-07-18,14751,21.1856597,105.7798527
2017-07-18,14771,21.1856896,105.7796226
2017-07-18,14791,21.1857261,105.7781416
2017-07-18,14811,21.1857582,105.776086
2017-07-18,14831,21.1855982,105.7760966
2017-07-18,14851,21.1854055,105.776082
2017-07-18,14871,21.1854055,105.776082
2017-07-18,14891,21.1854055,105.776082
2017-07-18,14911,21.1854055,105.776082
2017-07-18,14931,21.1854055,105.776082
2017-07-18,14951,21.1854055,105.776082
2017-07-18,14971,21.1854055,105.776082
2017-07-18,14991,21.1854055,105.776082
2017-07-18,15011,21.1854055,105.776082
2017-07-18,15032,21.1854055,105.776082
2017-07-18,15052,21.1854055,105.776082
2017-07-18,15072,21.1854055,105.776082
2017-07-18,15092,21.1854055,105.776082
2017-07-18,15112,21.1854055,105.776082
2017-07-18,15132,21.1854055,105.776082
2017-07-18,15152,21.1854055,105.776082
2017-07-18,15172,21.1854055,105.776082
2017-07-18,15192,21.1854055,105.776082
2017-07-18,15212,21.1853492,105.7760028
2017-07-18,15232,21.1853492,105.7760028
2017-07-18,15252,21.1853492,105.7760028
2017-07-18,15272,21.1853492,105.7760028
2017-07-18,15292,21.1853492,105.7760028
2017-07-18,15312,21.1853492,105.7760028
2017-07-18,15332,21.1853492,105.7760028
2017-07-18,15352,21.1853492,105.7760028
2017-07-18,15372,21.1853492,105.7760028
2017-07-18,15392,21.1854246,105.7760586
2017-07-18,15412,21.1854246,105.7760586
2017-07-18,15432,21.1854246,105.7760586
2017-07-18,15452,21.1854246,105.7760586
2017-07-18,15472,21.1854246,105.7760586
2017-07-18,15492,21.1854246,105.7760586
2017-07-18,15512,21.1854246,105.7760586
2017-07-18,15532,21.1854246,105.7760586
2017-07-18,15552,21.1854246,105.7760586
2017-07-18,15572,21.1854246,105.7760586
2017-07-18,15592,21.1854246,105.7760586
2017-07-18,15612,21.1854246,105.7760586
2017-07-18,15632,21.1854246,105.7760586
2017-07-18,15652,21.1854246,105.7760586
2017-07-18,15672,21.1854246,105.7760586
2017-07-18,15692,21.1854246,105.7760586
2017-07-18,15712,21.1854246,105.7760586
2017-07-18,15732,21.1854246,105.7760586
2017-07-18,15752,21.1854246,105.7760586
2017-07-18,15772,21.1854246,105.7760586
2017-07-18,15792,21.1854246,105.7760586
2017-07-18,15812,21.1854246,105.7760586
2017-07-18,15832,21.1854246,105.7760586
2017-07-18,15852,21.1854758,105.7759789
2017-07-18,15872,21.1854758,105.7759789
2017-07-18,15892,21.1854758,105.7759789
2017-07-18,15912,21.1854758,105.7759789
2017-07-18,15932,21.1854758,105.7759789
2017-07-18,15952,21.1854758,105.7759789
2017-07-18,15972,21.1854758,105.7759789
2017-07-18,15992,21.1854758,105.7759789
2017-07-18,16012,21.1854758,105.7759789
2017-07-18,16032,21.1854758,105.7759789
2017-07-18,16053,21.1854758,105.7759789
2017-07-18,16073,21.1854758,105.7759789
2017-07-18,16093,21.1854758,105.7759789
2017-07-18,16113,21.1854758,105.7759789
2017-07-18,16133,21.1854758,105.7759789
2017-07-18,16153,21.1854758,105.7759789
2017-07-18,16173,21.1854758,105.7759789
2017-07-18,16193,21.1854758,105.7759789
2017-07-18,16213,21.1854758,105.7759789
2017-07-18,16233,21.1854758,105.7759789
